iter	Passed	Remaining
0	139	139038
1	142	70941
2	144	48186
3	147	36840
4	151	30113
5	154	25562
6	157	22320
7	160	19908
8	162	17934
9	164	16321
10	166	15001
11	168	13875
12	170	12922
13	171	12093
14	173	11376
15	174	10736
16	175	10168
17	177	9674
18	178	9220
19	179	8812
20	180	8433
21	182	8091
22	183	7776
23	184	7493
24	185	7227
25	186	6980
26	187	6747
27	188	6530
28	188	6327
29	189	6139
30	190	5963
31	191	5798
32	192	5642
33	193	5495
34	194	5357
35	195	5227
36	196	5103
37	196	4987
38	197	4875
39	198	4771
40	199	4670
41	200	4575
42	201	4484
43	202	4396
44	203	4313
45	204	4234
46	205	4158
47	206	4086
48	206	4016
49	207	3949
50	208	3884
51	209	3822
52	210	3761
53	211	3703
54	212	3648
55	213	3595
56	214	3543
57	215	3493
58	215	3444
59	216	3397
60	217	3352
61	218	3308
62	219	3268
63	220	3227
64	221	3187
65	222	3148
66	223	3111
67	223	3068
68	224	3033
69	225	2998
70	226	2965
71	227	2932
72	228	2900
73	229	2869
74	230	2839
75	231	2809
76	231	2780
77	232	2752
78	234	2733
79	235	2706
80	236	2680
81	237	2654
82	238	2630
83	238	2605
84	239	2578
85	240	2555
86	241	2529
87	241	2507
88	242	2485
89	243	2463
90	244	2443
91	245	2422
92	246	2402
93	247	2383
94	248	2364
95	249	2345
96	250	2327
97	250	2309
98	251	2291
99	252	2273
100	253	2256
101	254	2236
102	254	2220
103	255	2203
104	256	2187
105	257	2172
106	258	2157
107	259	2142
108	260	2128
109	261	2115
110	262	2102
111	263	2087
112	264	2073
113	265	2060
114	265	2046
115	266	2032
116	267	2019
117	268	2006
118	269	1992
119	270	1980
120	270	1968
121	271	1955
122	272	1941
123	273	1929
124	274	1918
125	274	1906
126	275	1896
127	276	1883
128	277	1873
129	278	1862
130	279	1852
131	280	1842
132	280	1831
133	281	1821
134	282	1811
135	283	1801
136	284	1792
137	285	1781
138	286	1772
139	286	1762
140	287	1753
141	288	1744
142	290	1738
143	291	1731
144	292	1724
145	293	1717
146	294	1708
147	295	1700
148	296	1691
149	297	1683
150	298	1676
151	299	1668
152	300	1661
153	300	1653
154	301	1645
155	302	1638
156	303	1631
157	304	1624
158	305	1616
159	306	1609
160	307	1601
161	308	1594
162	309	1588
163	310	1581
164	311	1574
165	311	1567
166	313	1561
167	314	1555
168	314	1548
169	315	1541
170	316	1536
171	318	1533
172	320	1531
173	321	1527
174	323	1524
175	324	1518
176	325	1512
177	326	1505
178	326	1499
179	327	1493
180	328	1485
181	329	1479
182	330	1473
183	331	1468
184	332	1462
185	332	1456
186	333	1451
187	334	1445
188	335	1439
189	336	1434
190	337	1428
191	338	1423
192	339	1418
193	340	1412
194	340	1407
195	341	1402
196	342	1397
197	343	1392
198	344	1386
199	345	1382
200	346	1377
201	347	1372
202	348	1367
203	349	1362
204	350	1357
205	351	1354
206	352	1351
207	353	1347
208	354	1342
209	355	1337
210	356	1332
211	357	1329
212	358	1324
213	359	1320
214	360	1316
215	361	1311
216	362	1307
217	363	1302
218	363	1297
219	364	1293
220	365	1289
221	366	1284
222	367	1280
223	368	1275
224	369	1271
225	370	1267
226	371	1263
227	372	1259
228	372	1255
229	374	1252
230	374	1248
231	375	1244
232	376	1240
233	377	1236
234	378	1232
235	379	1228
236	380	1224
237	381	1220
238	382	1216
239	383	1212
240	383	1208
241	384	1205
242	385	1201
243	386	1197
244	387	1193
245	388	1190
246	389	1186
247	390	1182
248	391	1179
249	391	1175
250	392	1172
251	393	1168
252	394	1165
253	395	1161
254	396	1157
255	397	1154
256	398	1150
257	398	1147
258	399	1144
259	400	1140
260	401	1137
261	402	1134
262	403	1131
263	404	1127
264	405	1124
265	406	1121
266	407	1117
267	407	1114
268	408	1111
269	409	1107
270	410	1104
271	411	1101
272	412	1097
273	413	1094
274	413	1091
275	414	1088
276	415	1085
277	416	1082
278	417	1079
279	418	1076
280	419	1073
281	420	1070
282	421	1067
283	422	1064
284	423	1061
285	423	1058
286	424	1055
287	425	1052
288	426	1049
289	427	1046
290	428	1043
291	429	1041
292	430	1038
293	431	1035
294	432	1032
295	433	1030
296	434	1027
297	434	1024
298	435	1021
299	436	1018
300	437	1016
301	438	1013
302	439	1010
303	440	1007
304	441	1005
305	442	1002
306	442	999
307	444	997
308	445	995
309	446	993
310	447	990
311	448	987
312	448	985
313	449	982
314	450	980
315	451	977
316	452	974
317	453	972
318	454	969
319	455	966
320	455	964
321	456	961
322	457	959
323	458	957
324	461	957
325	462	956
326	464	954
327	465	953
328	467	954
329	469	952
330	470	950
331	471	949
332	472	947
333	474	945
334	475	943
335	476	941
336	477	940
337	479	939
338	480	937
339	482	935
340	483	934
341	484	932
342	485	930
343	486	928
344	488	926
345	489	924
346	490	922
347	491	921
348	492	919
349	493	917
350	495	915
351	496	914
352	497	911
353	498	909
354	499	908
355	500	906
356	502	904
357	503	902
358	504	900
